Longitude,Latitude,hour,month,weekday,park
-122.325988444,47.600031488,0,7,2,108
-122.362937151,47.659482679,0,7,2,70
-122.342879608,47.609812733,0,7,2,91
-122.376190342,47.563055862,1,7,2,44
-122.325943394,47.618112621,1,7,2,115
-122.329570476,47.612504043,1,7,2,114
-122.336832763,47.661386381,1,7,2,101
-122.334010386,47.610645919,1,7,2,106
-122.317444264,47.605197702,1,7,2,125
-122.363818205,47.535520311,2,7,2,34
-122.286149145,47.556263448,2,7,2,60
-122.399479951,47.567624168,2,7,2,38
-122.329048256,47.588782553,3,7,2,85
-122.329067739,47.572688081,3,7,2,73
-122.332845839,47.602662498,4,7,2,101
-122.367511968,47.661830313,1,7,2,76
-122.340367253,47.610046277,3,7,2,101
-122.345223492,47.614372206,3,7,2,89
-122.308313316,47.599999894,4,7,2,125
-122.355512145,47.713251677,4,7,2,29
-122.325923744,47.608516466,4,7,2,109
-122.334607822,47.602911944,4,7,2,97
-122.342402604,47.612117499,1,7,2,92
-122.344363969,47.615036752,3,7,2,93
-122.337582725,47.726854515,2,7,2,23
-122.331124149,47.601717571,3,7,2,102
-122.271376799,47.521674093,1,6,5,28
-122.37489672,47.651256443,8,7,1,75
-122.325060336,47.597932435,4,7,2,104
-122.34736386,47.522814236,6,7,2,23
-122.341747902,47.607256696,4,7,2,93
-122.324951123,47.612987966,5,7,2,113
-122.36278798,47.569141381,5,7,2,39
-122.263998545,47.517910895,6,7,2,23
-122.293751048,47.538912489,6,7,2,50
-122.324739379,47.581892216,6,7,2,88
-122.329058179,47.576649911,7,7,2,79
-122.309484801,47.61851141,8,7,2,135
-122.345223492,47.614372206,7,7,2,89
-122.271782698,47.530341396,7,7,2,34
-122.352602525,47.688750305,10,7,3,47
-122.363818205,47.535520311,17,7,0,34
-122.401499581,47.583132519,3,7,0,35
-122.292528006,47.541915749,18,7,6,50
-122.36278798,47.569141381,8,7,2,39
-122.325621133,47.551691767,8,7,2,43
-122.382242689,47.589497561,9,7,2,50
